만나이,지역거주기간,향후거주의향,정주의식,거주지소속감,지역생활만족도,주거만족도,월평균가구소득,부채유무,삶의만족도,대중교통만족도,공공편의시설만족도,의료시설만족도,year
66,38,1,3,2,7,5,5.0,2.0,3,3.8,1.0,3.0,2023
78,50,1,3,1,8,2,4.0,2.0,9,2.4,1.0,2.0,2023
73,70,1,3,1,10,1,1.0,2.0,10,2.6,1.0,1.0,2023
85,25,2,3,2,4,3,3.0,2.0,5,2.6,3.0,2.0,2023
68,30,1,3,2,8,2,5.0,1.0,9,3.0,2.0,4.0,2023
69,33,2,3,2,5,1,1.0,2.0,5,2.0,1.0,2.0,2023
78,57,2,3,2,7,3,1.0,2.0,7,2.8,3.0,2.0,2023
71,10,2,3,2,4,2,2.0,2.0,3,3.4,3.0,1.0,2023
83,50,2,3,1,5,1,1.0,2.0,3,2.6,3.0,1.0,2023
73,46,1,3,2,5,3,1.0,2.0,5,2.2,2.0,1.0,2023
81,40,1,3,2,5,2,5.0,1.0,5,2.8,1.0,1.0,2023
81,46,1,3,1,7,2,5.0,2.0,8,2.8,2.0,3.0,2023
75,23,2,3,2,6,1,8.0,2.0,4,3.0,3.0,4.0,2023
66,27,2,2,3,5,2,3.0,1.0,5,2.8,3.0,1.0,2023
78,40,3,4,2,4,3,1.0,1.0,4,2.8,3.0,2.0,2023
85,54,4,3,1,2,1,2.0,2.0,2,2.6,2.0,2.0,2023
78,40,2,3,1,5,1,1.0,1.0,5,2.8,2.0,1.0,2023
73,43,1,3,2,7,3,3.0,1.0,8,2.2,1.5,2.0,2023
69,5,1,3,2,5,2,1.0,1.0,5,3.0,1.0,2.0,2023
69,20,1,4,3,7,3,2.0,2.0,7,2.6,2.0,2.0,2023
66,22,2,3,2,5,3,8.0,1.0,5,2.4,2.0,3.0,2023
74,38,4,4,3,4,3,2.0,2.0,3,3.2,3.0,4.0,2023
65,24,3,3,2,5,3,2.0,1.0,5,3.0,3.0,3.0,2023
65,25,1,1,1,5,3,3.0,1.0,3,3.0,1.0,3.0,2023
71,45,2,3,1,7,3,2.0,2.0,5,3.0,1.0,2.0,2023
80,20,2,3,4,5,4,1.0,2.0,3,3.0,3.0,3.0,2023
69,46,2,3,1,6,2,4.0,1.0,6,3.8,4.0,3.0,2023
74,3,4,4,2,2,5,5.0,1.0,3,3.0,3.0,2.0,2023
65,61,1,1,2,5,2,3.0,2.0,5,2.6,2.0,2.0,2023
78,40,1,3,2,7,2,4.0,2.0,6,3.0,1.0,2.0,2023
69,35,1,3,1,10,1,4.0,1.0,10,1.8,1.0,1.0,2023
75,7,1,3,1,5,1,2.0,2.0,5,3.0,3.0,3.0,2023
68,40,1,3,2,10,1,2.0,2.0,10,2.2,2.0,3.0,2023
82,82,1,1,1,5,4,2.0,2.0,5,2.6,2.0,2.0,2023
80,24,1,3,1,5,2,1.0,2.0,7,2.2,1.0,2.0,2023
68,20,1,3,2,8,2,2.0,2.0,8,2.6,1.0,1.0,2023
72,20,2,3,2,8,4,1.0,2.0,8,2.6,1.0,1.0,2023
82,25,1,3,1,8,1,2.0,2.0,8,2.6,1.0,2.0,2023
75,75,1,1,1,8,1,6.0,2.0,6,2.8,2.0,2.0,2023
76,50,1,3,1,5,1,4.0,2.0,10,3.0,2.0,2.0,2023
75,37,1,4,2,7,3,2.0,2.0,8,1.8,1.0,2.0,2023
79,30,1,3,2,5,2,2.0,2.0,5,2.4,1.0,2.0,2023
85,59,1,3,1,8,4,5.0,2.0,9,1.0,2.5,2.0,2023
78,30,2,3,2,5,3,2.0,2.0,5,2.2,3.0,3.0,2023
84,25,1,3,1,5,1,6.0,2.0,8,2.2,1.0,2.0,2023
76,41,2,3,2,5,1,5.0,2.0,5,3.0,2.0,1.0,2023
74,48,1,3,1,10,1,4.0,2.0,10,1.0,1.0,1.0,2023
74,17,1,3,1,6,4,1.0,2.0,7,3.0,2.0,1.0,2023
67,30,1,1,2,6,3,1.0,2.0,5,3.2,3.0,2.0,2023
71,25,2,3,2,5,3,3.0,2.0,5,2.4,3.0,3.0,2023
67,41,1,3,1,10,1,1.0,2.0,10,2.0,1.0,1.0,2023
67,33,1,3,1,7,4,3.0,1.0,5,1.8,1.0,2.0,2023
74,10,2,4,3,5,4,1.0,2.0,5,3.0,2.0,2.0,2023
79,4,2,4,2,5,3,1.0,2.0,5,2.6,1.0,4.0,2023
73,11,1,1,1,6,2,3.0,2.0,5,2.6,1.0,3.0,2023
80,60,2,3,2,7,2,1.0,2.0,7,2.8,1.0,4.0,2023
77,10,5,4,3,5,4,1.0,2.0,2,3.0,1.0,1.0,2023
80,13,2,3,2,7,1,1.0,2.0,7,2.6,1.0,1.0,2023
68,10,2,3,2,6,3,3.0,1.0,5,3.0,2.0,2.0,2023
82,25,3,3,2,6,2,2.0,2.0,5,2.6,2.0,2.0,2023
65,10,2,4,2,7,3,4.0,2.0,5,2.8,2.0,2.0,2023
74,37,1,3,1,8,1,5.0,2.0,8,2.2,2.0,1.0,2023
65,30,2,3,3,7,3,2.0,2.0,7,3.0,3.0,2.0,2023
76,22,2,4,2,7,1,3.0,2.0,7,2.2,2.0,2.0,2023
85,62,1,3,3,8,2,1.0,2.0,4,2.2,1.0,1.0,2023
